sample_id	text	expected_output	label	label_name	sentiment_zh	split	source_dataset
chnsenticorp_train_00114	于丹的，讲教还可以吧译注的当然是比较不上大师们的了。比较适合学生吧，做人做事的道理。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_00225	不错，在同等档次酒店中应该是值得推荐的！	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_00641	电脑的包装纸盒上有个非常明显的鞋印，想象京东的包装和运输不是用手来操作的。送的礼包里的电脑屏幕保护贴是弯折的，没法用了。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_00803	入住没什么问题，前台把握安排在23楼， 那里可真是馊臭，一出电梯非常难闻。进了房间里面还是有这个味道。 就快要吐出来了。 实在是忍无可忍，打电话给总台，要求换房。 后来换到39楼。 服务生说是23，24楼市公寓楼，有人在做饭的。 晕！！！ 也说明酒店不重视携程的客户。 如果是他们酒店ACCOR的会员的话，肯定不会安排在23楼。 还有个奇怪的问题是， 为什么携程总是没有早餐的？ 什么酒店都没有， 感觉是携程吃了我们的早餐。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_01028	"也许黄金海岸有自己的酒店评级机构,给此中心评了个""四星"",不然不好意思收四五百的房租啊!也就二星的标准,大堂里蚊子那叫一个多...卫生间和浴室的门都关不上,的用手扶着!电话不响,得用自己的手机. 毛巾不知是哪年的了，估计本世纪初的产品。装修用的是最低档的地砖和大理石...另外，当地民风极差，无论你在酒店里，海滩上，外面餐馆，只要你出手消费，必定挨宰！ 下次宁愿远赴青岛威海，也不来黄金海岸，南戴河了。海水的品质，也如当地酒店和民风，差！"	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_01040	装系统时，要长按F2进入主版，这个提示机器上不显示，到网上查到的，默认硬盘分区有好几个，还有一个显示为bos，后来才反应过来要把所有的分区都删掉，重新格式化，装上的xp才能读到，不然老是显示都不到。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_01124	3星的硬件,4星的外观,5星的服务 房间设施比较陈旧,但服务非常的好,头一次碰到3星的酒店里任何一个服务人员见到你都会微笑问好的,如果设施再好些是个不错的酒店	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_01521	政府酒店感觉很气派,而且很干净,整个酒店的房间布局也很整齐.5月份入住的,由于第一天房间不能上网,和前台协调又换了一间可以上网的,还帮忙调试了笔记本,服务很周到.正好住的两天都有人结婚,感觉酒店一楼的宴会厅很适合婚礼	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_01813	这应该是我见过能称为五星最恶心的酒店了，服务不好，房间不好，早点不好，听说是个没老板开的，太不讲究了，好好改改吧！麻烦携程推荐好的酒店！	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_02105	自带的1G内存配合Vista系统还是很吃力。快捷键有点少。奥特蓝星的音箱比起惠普的奥特蓝星音箱总觉得差了层次。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_02210	孩子先在别的书上看到的图片，一套三本书，有我为什么讨厌那个女孩、讨厌穿裤衩、讨厌喝牛奶，孩子看了就问我是什么书，开始最感兴趣的是我为什么讨厌穿裤衩，但是过了几天比较了一下，她决定买我为什么讨厌那个女孩（我规定每次都只能选一本书）。刚买回来时，天天都得讲，一天甚至有时一次得讲几遍，听多了，你不给她讲，她就自己讲起来。还不错啦。不过我有点担心会不会误导小女孩的想法。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_03002	香港的酒店在面積方面就不需要強求什麼了﹗這家酒店設施已經比較陳舊了，不過交通比較方便的﹗服務方面尚可﹗	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_03027	封面很漂亮，纸张也不错，只是送过来的时间有点长啊	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_03159	配货快，性价比较高，外观不错，性能稳定，噪音不大，对移动硬盘支持好，驱动程序、使用说明放在了E盘中。电池有延保卡。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_03382	酒店适合度假，在尖沙咀汉口道逢整点有免费班车往返，房间大小适中，可以躺在床上看海，儿子在游泳池里玩得不想上来，缺少浴袍。早餐还可以。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_03497	可以肯定作者读过一些历史资料更加确定作者文学功底稍显不足此书读来没有历史的明鉴更没有文学的优美所以我问自己读来何用岂不是浪费自己的时间我个人比较偏好易中天的<品三国>所以对于这本书的类型不是很喜欢	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_03681	炒作的那么热，可能只是我们的一厢情愿，宝宝平时最喜欢听故事的，可是对这套书她一点儿兴趣也没有。只能我看了，困啊...乏啊....我们家没有“外文”基因.....	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_04010	我11月6号下的订单，今天还没到！ 当当上显示是已完成交易！ 请问是怎么回事！ 订单号：1421846721我11月6号下的订单，今天还没到！ 当当上显示是已完成交易！ 请问是怎么回事！ 订单号：1421846721我11月6号下的订单，今天还没到！ 当当上显示是已完成交易！ 请问是怎么回事！ 订单号：1421846721	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_04099	酒店太偏已在郊外，出来打车不太方便，住宿客人太少，感觉上冷冷清清的，可是预定的时候还需要提供信用卡担保，说是房间紧张，其实可能是怕客人跑掉吧。服务、设施都太一般。 补充点评 2007年11月13日 ： 不过贵阳整个就是一个脏乱差的典型，东东还贵得吓死人，去贵阳的话就不要抱什么美好的愿望了！	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_04343	国内外酒店都住过不少，丹东也住过国际酒店20楼，这次是因为办事，才选择这家所谓丹东唯一一家四星级酒店，但从来没有见到过服务质量这么差的酒店，处处和客人为敌。本人14日入住，由于本人是16日晚十一点多的航班，15日中午特意和前台说能否在16日晚六点结帐时，总共收两天半的房钱。前台当时同意，并刷了我两天半的预付款。可等到16日晚六点2分，同志们，就过了两分钟时间，他们居然要收我三天的房钱。当时本人先耐着性子，和前台两个服务员解释。后来一个戴眼镜的女大堂副理也过来。可说来说去，就是说酒店电脑系统六点一过就自动锁定为一天。副理后来打电话请示什么陈经理，我站在旁边亲耳听了个详细。她只是说，有个客人过了六点想退房提出算半天，行不行？得到否定的答案后，她就抬头拒绝了本人。本人告诉她：“你这就叫打电话请示呀？你电话中和你们经理讲了我15日就提出算半天你们同意的事实了吗？”她被问住了！本人由于赶时间，懒得再和她们理论。奉劝携程不要与这家酒店再签订住房合约，免得引来更多的投诉。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_04576	我非常不满意新月阁客栈，如果有零分可以选，我宁可一分也不肯给.他们的服务太差了.明明含早餐的,居然早上服务员全然不知道,还是我本人大清早冒雨出去买的。更让人心寒和气愤的是:在中秋节的早晨,服务员在我们毫不知情的情况下,把房间转卖给别人,把我和一对美国夫妇赶走了。我和周围的几家客栈谈起此事,大家都非常震惊,居然有这种人!我强烈建议大家从此以后不要在这里住了。而且价格是附近的客栈的两倍.	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_04720	回来2天了，很忙，没来得及评价，今天周末得闲谈谈入住海景酒店的感触。 我是7.25---7.30入住海景的，因为是家里人度假，加之孩子比较小（5岁），所以在决定去青岛度假时上网查了青岛酒店的情况，原来定的是栈桥王子酒店，后来又看到大家对海景的评价，感觉很惊讶，可以说是没有任何负面评价，大家一致说这个酒店极好，于是取消了栈桥王子改定海景，想看看到底海景靠什么取得大家的一致好评的！下面我就从海景的第一个电话谈起： 我订的是7.25下午6点的飞机，到青岛大约7点左右，订酒店时在备注里写了需要酒店接机，在23日就接到酒店的电话，一个甜美的女孩和我联系了具体的接机时间还给我留了接机人员的联系电话，心里感到很舒服，25日下飞机后就看到有人举着写有我名字的牌子站在候机厅出口等着我们，一个帅气的小伙子非常礼貌的问好并极其自然的将我手中的行李接了过去，上了酒店的接送车后司机师傅马上递上了凉凉的毛巾和矿泉水，想的真是周到！一路欣赏青岛的夜景，大概行驶了40分钟左右抵达酒店，车还没停就看到大堂门口站着一位身穿西装的小伙子在等着，后来知道这个小伙子是专门接待我们的，下车后马上就有行李员把我们的行李装上推车，我按照惯例准备到大堂登记，结果小伙子直接把我们引导到房间了，所有的登记工作都由他帮我们完成，真的感到很舒服，第一印象非常好。 房间很舒适，我订的是行政房2712，各项设施很齐全，房间里播放着舒缓的背景音乐，看得出酒店很用心，不一会就有服务员送来了橙汁和毛巾，还赠送了一对小玩偶，孩子很喜欢，后来发现原来每天都赠送玩偶和水果还有小点心，结果把宝宝高兴的不得了，回家时光是玩偶就装了一口袋。 服务方面更是没得说，房间服务非常及时和细心，在餐厅吃饭时服务员特地给宝宝拿来儿童专用的可爱的卡通餐具，有一天宝宝有点发烧，酒店很快就派了医生上来，给开了药，晚饭考虑到怕宝宝受不了空调，就叫了送餐服务，结果晚饭送来后发现酒店给加了一大碗银耳粥、一大盘薯条还有一碗姜汤，宝宝吃得兴高采烈，病马上好了一半，第二天服务员看到我们还问候宝宝的病情呢，让人感觉很温暖。有一天晚饭时我因为吸烟过多有轻微咳嗽，不一会服务员就端上一碗银耳粥给我，告诉我可以减轻咳嗽，还有，最后一天吃早饭时，宝宝因为头天傍晚和妈妈去海边找小螃蟹时腿上被蚊子咬了一个小包包，我们自己都没在意，可是服务员看到宝宝抓痒后主动送来了消毒的碘敷和风油精还帮宝宝擦药，令我们做父母的汗颜。 5天的假期很快就要结束了，我问宝宝，回家好不好？宝宝说：不想回家，还想在酒店住下去。童言无忌、童言无欺！在海景的五天我很感动，海景的员工真正的体现出海景的企业文化，如果说海景的硬件是5星级，那么海景的服务绝对是7星级。海景是青岛的骄傲，也是我们中国的骄傲！	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_04828	我端午节期间带家人入住了一晚，感觉服务比较 差，根本达不到四星的标准，下面我从硬件和服 务两方面做一个点评： 一、硬件 1、酒店位置不错，比较繁华；夜间很安静(我入 住的是东楼)； 2、酒店房间很小(特别是卫生间)，和香港的酒 店有得一拼； 3、房间衣柜没有门把手，打开很费劲； 4、席梦思床垫很软(好的席梦思应该比较硬)； 5、房间隔音不好，我入住的当晚，隔壁是间婚 房，很多人在闹房，声音很清楚； 二、服务 1、房间里没有准备牙刷，我拨打分机16要求提供，接线员竟然让我拨打其他电话去要(酒店入住卡上清楚写明有要求直接拨打16就可以了)； 2、去二楼中餐厅就餐，服务员告知中餐厅当天搬到一楼鲍翅馆了；转到一楼鲍翅馆，服务员给了一份鲍翅馆的菜单，我问服务员要中餐厅菜单，这个服务员竟然说没有，我问道，中餐厅都搬到一楼了，难道菜单没搬下来么？这时服务员才不情愿的把中餐厅的菜单给我； 3、因为是通过携程预定的，送了20元积分卡。在就餐完毕后，我们把积分卡给服务员，由于这个服务员已经把帐单打印好，不想重新打印，竟然说你们下次再来用好了，我们是从外地过来的，下次不知是猴年马月了； 4、第二天早上去吃早餐，由于小孩(16个月大)不肯吃早饭而哭闹，服务员竟然过来对我小孩说，再哭就打屁股了！这句话我们当父母的可以说，但是你们酒店服务员绝对不应该说，希望你们道歉！ 5、就餐完毕来去，走到餐厅门口时，服务员用眼睛瞟你一下，连招呼也不打。住了很多四星、五星，从来没见过这么没礼貌的。 宾馆反馈 2008年6月17日 ： 对于您在住店期间发生的不愉快,我代表酒店真诚的向您道歉.非常感谢您对我们提出的意见和批评，我们也把您所反映的问题反馈到了相关部门，进行了培训和整改。我们希望能有机会再次会您提供服务，相信一定会让您有不同的感觉。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_04840	这是我在国内所见到的最好的一本适合小孩阅读和聆听的有声读物，故事有趣，画面生动，特别是他的朗读完全没有国内很多读物的死板，乏味，甚至让人昏昏欲睡的问题，它的声音悦耳动听，让人琅琅上口，是一本不可多得的小孩读物。我的女儿尽管不是完全能听懂，但却能跟着录音琅琅上口。希望能多出版些类似这样的有声读物，让孩子欣赏到优美的英语，对英语产生兴趣而不是为了考试而学习。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_05241	闹中取静，交通方便，价格实惠，服务基本到位，房间设施虽稍显简陋，但值得推荐。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_05392	书中的内容总结起来就是：20岁的女生要学会圆滑处世，要懂得为自己“着想”，这样才能创造出一个成功的人生也许正是因为它所要求的圆滑处世是我做不到的，所以我不太喜欢这本书	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_05707	隔音效果很差,客人住在九楼,晚上四楼的KTV 一直营业到一点,客人反应无法入睡. 所以本来预计定三天,后来提前退房,换了酒店	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_05875	6月17日入住两天，订的是半海景房。 去的那天下着雨，因为不熟悉，坐地铁到上环站后走了二十多分钟才到，还淋了雨。 前台接待态度非常好，可惜他说海景房满了，不能升级，比较遗憾。 半海景房落地窗，能看到海，但与居民楼很近。房间比较干净，床比较大，和国内比显得房间有点小，不过据说在香港这样的大小房间已经很不错了。 酒店服务很到位，坐酒店免费班车，送我们到港澳码头，就我和老公两人，司机态度挺不错。 酒店出门左转就可以坐当当车，交通还算方便。 而且后来才知道酒店离香港大学挺近，本来可以去港大散散步，下次有机会还可能再住。 看了别人的点评，发现678的价是比较高的，携程在价格上好象没有优势。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_06717	这几乎是江阴最好的酒店了，有很多老外都住在这里。房间的大小还可以，装饰和设施感觉没有五星的标准，算四星还差不多。最让人受不了的是这家的停车场，我是在一个普通的日子去的，结果还是碰上有人在宾馆结婚。地下地上都停满了赴婚宴人的车，结果我们住店的人要把车停在马路对面的很远的地方。那天还下着中雨，我车上有一个法国人、一个菲律宾人和两个中国人不得不提着行李冒着雨躲过一个又一个的水坑去宾馆大厅。门口的保安好像对这种情况已经见怪不怪了，看着我们四个人在于里跳来跳去面无表情。真是烂透了。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_06736	地方偏僻，而且禮賓部根本是沒人服務的，前幾天去住的時候，空調都沒有，酒店借口說，已經開了，但是一點風聲都沒有，為了省錢，搞的這樣，好誇張。 下次一定不會入住該店了。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_06803	性能不错，综合不错！速度很快！外观还挺满意的，大小适中。发货速度也超快，我昨天下午订购的，今天中午就收到了。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_07262	酒店位置很好，去火车站、机场、逛街都比较方便。设施什么的也很好。在这个位置这样的价格真是银不错了。如果不是正好有个工地在边上，应该会十会清静。服务员的态度也挺好，只是结账的时候因为不知是谁在服务指南内页上用原珠笔划了不到2厘米的一条线，查房的服务员反应十分过度的不让结账，说要赔偿，虽然最后经过交涉没有赔款，不过心里十分之不爽，下次入住前如不是要把房间检查个底朝天谁敢住进去。希望这次的经历也使酒店执行制度不会再过度僵化。除开这点不愉快，其实还是值得推荐的。	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_07374	没有光驱，装东西不方便，还是要配个外置光驱才好。内存1G根本带不起来VISTA，幸好送了个1G内存。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_07672	明明写的是VISTA高级版，拿到手才发现只是普通版！明明说2点及千克，拿到手变3点几千克了！神奇哦！	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_07827	房间陈旧，设施简单，尤其是早餐品种极少，但能吃饱。服务人员主动服务意识差，但你主动的话她们倒是比较热情。可能是黄山游客多，酒店生意好，你下次来不来住无所谓。酒店的院落大，停车方便，环境较佳。因他们不是专业酒店，所以要原谅包涵他们。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_08254	第一次我如饥似渴的读完这本书，感觉这么多年来我心灵的指导师终于出现了，书中提到的许多家长所犯的错误我几乎全犯过，同样的问题王老师处理的结果令我茅塞顿开，于是我第二次读的时候认真的做了笔记，把书中的案例及解决方法都整理出来，然后照着实施，效果果然不错，和孩子的沟通愉快了，孩子学习劲头也变高了，一切都在往好的方向发展，感谢王老师的书，希望各位家长都能拜读一下，你会受益匪浅的！	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_08401	想买此书的时候却赶上没货，等了好久终于到货，速买来读之，虽然读之前看了大家的评论，觉得我可能也会被感动的稀里哗啦，一路读下来虽然最后结果是我没流泪，但是却是伤感的几乎一夜未眠，那是一种什么样的爱情！让人肝肠寸断啊！据说此故事发生在我的家乡，细细读来发现真得很像呢，听说好像剧组已经在家乡选址准备拍摄电视剧了，期待ing !	positive	1	positive	正面	train	seamew/ChnSentiCorp
chnsenticorp_train_08651	看了别人的评论才打算买齐了给儿子做生日礼物。但是4岁的儿子好像并不买账。从成人的角度看，整个故事从人物到情节都很乏味。我儿子的反应和我一样。	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_train_08973	故事都太长了～～而且有的有点不可理解～～不太喜欢～～读了两本就读不下去了～	negative	0	negative	负面	train	seamew/ChnSentiCorp
chnsenticorp_validation_00104	我相信ibm的产品，性能不错，屏幕不错，比原来公司的Dell D610要轻，所以有人说SL400比较重我就不觉得了，办公与普通娱乐够用了。	positive	1	positive	正面	validation	seamew/ChnSentiCorp
chnsenticorp_validation_00268	酒店在开发区口上，正好是出差在开发区办事。所以感觉很方便。 房间的暖气开的很足，所以-15度的气温也不感觉冷。 房间质量还可以，开发区有这样的酒店很满足了。就是早餐质量有待改善，便宜是便宜，但是实在是没什么可以吃的。	positive	1	positive	正面	validation	seamew/ChnSentiCorp
chnsenticorp_test_00075	外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。	positive	1	positive	正面	test	seamew/ChnSentiCorp
chnsenticorp_test_00229	这个酒店位置很好，就在新街口附近，走到哪里都近，吃饭也方便。酒店员工服务也很好，主管顾新峰当时帮我做的入住，因为他们在做酒店改造，就帮我免费升级了！客房的服务员也是相当的周到，到了之后的服务让我十分的满意。送来的报纸还配上一个有淡淡香味的花，让人感觉宾之如归。真的是一个值得推荐的酒店。我在协程虽然不算资深会员级别，但是也用协程3年了。这是第一次上来点评，就是因为服务真的很出众。让我觉得这钱花得不冤枉。	positive	1	positive	正面	test	seamew/ChnSentiCorp
chnsenticorp_test_00325	当时优惠了1300，配置高，相对于抢购价来说性价比太高了。不过，现在降到了4999。	positive	1	positive	正面	test	seamew/ChnSentiCorp
chnsenticorp_test_00436	但是，书比网上有删节，例如删掉网络版中轻寒轻轻吻了一下阿离等情节。不知编辑怎么想的，这有必要吗？	positive	1	positive	正面	test	seamew/ChnSentiCorp
chnsenticorp_test_00585	散热做得很好，屏幕效果绚丽没有坏点，杜比环绕效果也很好,性价比高，配置不错.	positive	1	positive	正面	test	seamew/ChnSentiCorp
chnsenticorp_test_00615	可能是看惯了台式机的液晶屏，感觉屏幕有些泛白，怎么调都不合适，另外本本确实有些厚重。	negative	0	negative	负面	test	seamew/ChnSentiCorp
chnsenticorp_test_00763	初五住的，这么冷的天没有暖气，没有热水。携程预定前台说没有收到。总之感觉很业余。	negative	0	negative	负面	test	seamew/ChnSentiCorp
chnsenticorp_test_00832	抢购到的本本，性价比超高，因为自己已有本本，买个人情，让给了同事。	positive	1	positive	正面	test	seamew/ChnSentiCorp
chnsenticorp_test_01018	系统运行还比较快，键盘不愧是 IBM的，敲打起来很舒服。加了送的内存后，速度还是比较快。	positive	1	positive	正面	test	seamew/ChnSentiCorp
